seed,implementation,algorithm,scope,deck_name,deck_card_count,query_id,query_text,expected_guid,top_guid,match,wall_ms,rank_ms,parse_ms,index_ms,timestamp,error
42,python,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,"NFe22,r9_s",what is an example of culturally sensitive health technology mentioned in the chapter?,"NFe22,r9_s","NFe22,r9_s",true,0.128,0.124,,,2025-10-11T18:59:34.210930+00:00,
42,rust,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,"NFe22,r9_s",what is an example of culturally sensitive health technology mentioned in the chapter?,"NFe22,r9_s","NFe22,r9_s",true,0.431,0.431,25.486,1.947,2025-10-11T18:59:34.335004+00:00,
42,python,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,"yX3,L{o1)(","why is pseudocode useful in algorithm design, according to chapter 1 of discovering computer science?","yX3,L{o1)(","yX3,L{o1)(",true,0.132,0.129,,,2025-10-11T18:59:34.513658+00:00,
42,rust,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,"yX3,L{o1)(","why is pseudocode useful in algorithm design, according to chapter 1 of discovering computer science?","yX3,L{o1)(","yX3,L{o1)(",true,0.500,0.500,25.719,2.526,2025-10-11T18:59:34.640710+00:00,
42,python,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,BZYQA/Wmv1,"what is the von neumann architecture, as described in chapter 1 of a brief history of computing?",BZYQA/Wmv1,BZYQA/Wmv1,true,0.136,0.131,,,2025-10-11T18:59:34.811548+00:00,
42,rust,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,BZYQA/Wmv1,"what is the von neumann architecture, as described in chapter 1 of a brief history of computing?",BZYQA/Wmv1,BZYQA/Wmv1,true,0.478,0.478,26.625,1.944,2025-10-11T18:59:34.940289+00:00,
42,python,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,GB{gVt!+.:,what is algorithmic bias in ai?,GB{gVt!+.:,GB{gVt!+.:,true,0.114,0.110,,,2025-10-11T18:59:35.112525+00:00,
42,rust,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,GB{gVt!+.:,what is algorithmic bias in ai?,GB{gVt!+.:,GB{gVt!+.:,true,0.279,0.279,26.339,1.990,2025-10-11T18:59:35.240399+00:00,
42,python,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,fog:L)nj-Y,"how is a decimal number converted to binary, according to chapter 3 of a brief history of computing?",fog:L)nj-Y,,false,,,,,2025-10-11T18:59:35.413951+00:00,Non-zero exit (1)
42,rust,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,fog:L)nj-Y,"how is a decimal number converted to binary, according to chapter 3 of a brief history of computing?",fog:L)nj-Y,fog:L)nj-Y,true,0.510,0.509,25.611,2.126,2025-10-11T18:59:35.539400+00:00,
